filename,chemical_formula
MURCOR_clean.cif,Ho4Cu6H48C48O60
MURFIQ_clean.cif,C360H216N72Mn9
MURNIX_clean.cif,Sm4Cu2H12C32N4O28
MURTUO_clean.cif,Lu4H24C24O24
MUSCAG_clean.cif,C128H192N32O64Zn24
MUSCIN_clean.cif,Ce8H72C168S12O72
MUSSIE_clean.cif,Be24P32H34O96
MUTDEM_clean.cif,Fe16N112H96C144
MUTDIQ_clean.cif,Mn16N112C144H80
MUTNAQ_clean.cif,C56H48N16Ag4O4
MUTVUT_clean.cif,Cd4H104C104N16O20
MUVGOA_clean.cif,Zn4H64C136N40
MUVGUG_clean.cif,Zn2H32C68N20
MUVHAN_clean.cif,Zn2H32C68N20
MUVHER_clean.cif,Zn2H32C68N20
MUVJIX_clean.cif,Mn8H24C56N8Cl8O24
MUVLUM_clean.cif,Zn4S6O30N4C56H28
MUVMOG_clean.cif,Ga15P20H24O80
MUVNAT_clean.cif,Mo24Mn6P16O100
MUVNEX_clean.cif,Mo48P32Mn16O200
MUVROM_clean.cif,Co48N96O192C448H224
MUWQEB_clean.cif,Fe12H24C72N96
MUXHIW01_clean.cif,La4H12C32N4O24
MUXHUI01_clean.cif,Nd4H12C32N4O24
MUXHUI02_clean.cif,Nd4O24N4C32H12
MUXJAQ01_clean.cif,Eu4H12C32N4O24
MUXJAQ02_clean.cif,Eu4H12C32N4O24
MUZGAQ_clean.cif,Dy52Zn3H220C320N46O228
MUZHUL_charged.cif,Zn2H4C20O16
MUZKAV_clean.cif,O104C696H408Al24
MUZRIJ_clean.cif,Cu24O8H176N72C192
MUZVUA_clean.cif,Cd4O16N4C74H52
NABCEA_charged.cif,Zn8H160C192N32O68Cl16
NABCIE_clean.cif,Co2H40C48N8F4
NABMUA01_clean.cif,Mg6H18C42N6O24
NABMUA_clean.cif,Mg6H18C42N6O24
NABNUA_clean.cif,Cd8H124C140N16O24
NABSEP_clean.cif,Fe16P16O64F8
NACVUI_clean.cif,Cu4H20C36N16O4
NACYAU_clean.cif,C336H192N24O52Zn16
NACYOG_clean.cif,V4Cd4P4H56C60N12O28
NACYUM_clean.cif,V4Co4P4H56C60N12O28
NADKEK_clean.cif,P12O36N12C48Y4
NADNEM_clean.cif,N24C132H108Ag4P4
NADZEZ_clean.cif,Y8H24C72O48
NADZID_clean.cif,Y4H12C36O24
NAFRUI_clean.cif,O96Ga18P24
NAFSOF_clean.cif,C160O32H88Cu8
NAGBUU_clean.cif,Co16H64C112N48O56
NAGCAB_clean.cif,P128O800Mo192Zn32
NAGQET_clean.cif,Co3H48C72N30
NAGQOD_clean.cif,N90C216H144Co9
NAHDIM_clean.cif,Zn8O72C360H324
NAHFIO_clean.cif,Co8O16N64C120H128B8
NAHFOU_clean.cif,Cd4N32C72H60O8B4
NAHGUB_clean.cif,Zn4N16O16C36H12
NAHHAI_clean.cif,N8Cd4O10C18H6
NAHNES_clean.cif,O96C368H208Cu24N16
NAJGAH_clean.cif,Nd2H42C28O18
NAJMIV_charged.cif,Cu8H128C160N56O72
NAJQUN_clean.cif,Mn8C88H40O32
NAJSUP_clean.cif,Eu8C152H72O48
NAJTAW_clean.cif,Tb8C152H72O48
NAJTEA_clean.cif,Ho8C152H72O48
NAKLIW_clean.cif,Zn16H56C96O56
NAKNUK_clean.cif,Tb4Na4H96C112N16O32
NALWOO_clean.cif,Ba4H64C108O24
NALYEG_clean.cif,U6H18C54O38
NAMDUD_clean.cif,O96C432H192Mn24
NAMZIL_clean.cif,Mn4Re12Te16C12N12
NANMAS_charged.cif,La8Mg8H96C96O120
NANMEW_clean.cif,La4Mg6H36C84N12O48
NANNAU_clean.cif,Zn4C176H120N40O16
NANNEY_clean.cif,Zn4C176H120N40O16
NANTII_clean.cif,Ce8O48C120H40N8
NANYUX01_charged.cif,Zn4H44C44O24N4
NANYUX02_charged.cif,Zn4H44C44O24N4
NANYUX03_clean.cif,Zn4O24C36H12
NANYUX_charged.cif,Zn4H44C44O24N4
NANZOS_clean.cif,Gd16H16C80N32O64
NAPNEA_clean.cif,N96C672H1008Si96Zn48O48
NAPZOV_clean.cif,Cd4H24C36O16
NAPZUB_clean.cif,Cd4H24C36O16
NAQLAT_clean.cif,Zn12H80C144N8O48
NAQQED_clean.cif,Tm16O64N16C112H48
NAQQIH_clean.cif,Y16O64N16C112H48
NAQQON_clean.cif,Pr16O64C112H48N16
NAQQUT_clean.cif,La16O64N16C112H48
NAQRAA_clean.cif,Sm16O64N16C112H48
NAQREE_clean.cif,Eu16O64N16C112H48
NARHAR_charged.cif,La10S24O96H128C32N16
NARHEV_charged.cif,Ce10S24O96H128C32N16
NARMUR_clean.cif,Pr8N12H20O48C56
NARNAY_clean.cif,Sm8N12H20O48C56
NARNEC_clean.cif,Eu8N12H20O48C56
NARNIG_clean.cif,Dy8N12H20O48C56
NARNOM_clean.cif,Ho8N12H20O48C56
NARNUS_clean.cif,Er8N12H20O48C56
NARPAA_clean.cif,Gd8N12H20O48C56
NARPEE_clean.cif,Tb8N12H20O48C56
NARPOO_clean.cif,Pr4O24F24C48
NARPUU_clean.cif,C48O24F24Nd4
NARTUX_clean.cif,Ca12H96C120N24O72
NARVUA_clean.cif,Nd8N12H20O48C56
NASMEB_clean.cif,Eu2Mn1H32C56N8O20
NASMIF_clean.cif,Gd2Mn1H32C56N8O20
NASREH_clean.cif,O32C104H72Co8
NASRIL_clean.cif,O32C104H72Cu8
NASROR_clean.cif,O64C208H144Zn16
NATFAS_clean.cif,Zn24O128C160H32
NATHOH_ion_b.cif,O128P16Mo24N16H32C24Na4Zn6Mn4
NATHUO_clean.cif,Zn8F72O48C192H72
NATKIF_clean.cif,Cu8O32N48C244H144
NATKOL_clean.cif,Cu8O32C244N48H144
NATNOM_charged.cif,Cu2H40C52N12O20Cl2
NATXIR_clean.cif,Er4H12C24N8O20
NAVCAO_clean.cif,Fe16P28O112
NAVFUM_clean.cif,Fe8P4H4O36C12
NAVJAW01_clean.cif,Co6H6C24O18
NAVJAW_clean.cif,Co6H6C24O18
NAVLIG_clean.cif,N16C96H80Cu4
NAWDUN_clean.cif,Cu16O64C312H260
NAWHOL_clean.cif,La4O24C30H36
NAWKII_clean.cif,Mg12O48C144H72
NAWWUG_clean.cif,Ni6O24C60H36N12
NAWXER_clean.cif,C128H64O32Zn8N8
NAXKOO02_clean.cif,Al4C32O20N4
NAXKOO_clean.cif,C32O20N16Al4
NAXLII_clean.cif,Zn4P4O16H58N12C54
NAYGUR_clean.cif,C32H40N24Cu4
NAYMOQ_clean.cif,Na4H12C28N4O22
NAYNIK_clean.cif,Cd20C72N44H52
NAYPIM_clean.cif,P6F2O24Al6
NAYXOC_clean.cif,Tb8P8H96C168O56
NAYZOE_clean.cif,Cu12H96C168N8O48
NAYZUK_SL.cif,H56C96O40In8
NAZZEV_clean.cif,Sm8H72C144N24O48
NDAIAH_clean.cif,C24Nd4N6O24
NEBNOZ_clean.cif,Zn4O16N4C88H56
NECZAY_clean.cif,P32H32Be24O96
NEDJAJ_clean.cif,Cs8K8Mo48P32H176C80N16O184
NEDMEP_clean.cif,Zn12P16O48H16
NEDVOJ_charged.cif,Mn3H60C70O24N2
NEDVUP_clean.cif,Mn1Cu3H48C66O24
NEDWAW_clean.cif,Mn3H48C66O24
NEDWEA_clean.cif,Mn1Co3H48C66O24
NEDWIE_clean.cif,Mn1Ni3H48C66O24
NEDXOL_clean.cif,Zn8P8O32N16C104H88
NEFTUP_clean.cif,N44C96H80Co4
NEFZOO_clean.cif,N24C48H24Cu4
NEGMUI_clean.cif,Gd4H16Ru4C52N24O8F24
NEGZUW_clean.cif,V40Zn24H48C48N72O80
NEHGEO_clean.cif,C352H208Zn48O104
NEHGIS_clean.cif,C352H208O104Zn48
NEHMET_clean.cif,Cd8O48C72H24
NEHZIK_clean.cif,Zn8H80C96N32O32
NEJRUR_clean.cif,Cu4H32C52N4O16
NEJSAY_clean.cif,Cu8H64C104N8O32
NEJSEC_clean.cif,Cu8H64C104N8O32
NEJSOM_clean.cif,Cu4H36C56N4O16
NEKBEL_clean.cif,Co6H16W4C48N40
NEKMUN_clean.cif,Co8O56C120H60
NEKREB_clean.cif,N48C96H72Pd12O24
NELVAC_clean.cif,Zn8P12O36H52C24
NELVEG_clean.cif,Zn8P12O36H28C12
NELWIL_clean.cif,Cu4H16C32N12O16
NENFAN_clean.cif,Ga32P32F8O128
NENHAQ_clean.cif,Cd12H72C168O48
NEPWIQ_clean.cif,Er4H8C20O24
NERMON_clean.cif,Er4H24C48O24
NERNON_charged.cif,Yb4Ni4H128C168S8N52O52
NERTAH_clean.cif,Cu12P16H176C136N24O48
NERVAJ_clean.cif,Zn36H648C792O216
NERVEL_clean.cif,Co4H36C48N8O18
NERVEN_clean.cif,Cd36H648C792O216
NERVOV_clean.cif,Co4H36C48N8O18
NESVAK_charged.cif,Cd18H60C144N18O78
NESVEO_charged.cif,Zn12H40C96N12O52
NETFAU_clean.cif,Eu8H44W4C80N48O20
NETFEY_clean.cif,Nd8N48C80H40O16W4
NETHOJ_clean_h.cif,Dy4C24O24H11
NETRIN_clean.cif,Zn8Al24P32O128
NETYIV01_clean.cif,Cu12C160H128N32Cl4
NETYIV_clean.cif,Cu12N32C160H112Cl4
NEVJEF_clean.cif,Cd16H88C136N16O64
NEVJOP_clean.cif,Zn12O36N16C108H76
NEVPOU_clean.cif,N96C64H64Cu12Cl8
NEVPUA_charged.cif,Cd4Cl24Cu12H64C64N96
NEVQAH_charged.cif,Cu12H64C64N96Cl24Hg4
NEVVAM01_clean.cif,Co12H32C56N8O40
NEVVAM02_clean.cif,Co6H16C28N4O20
NEVVAM_clean.cif,Co6H16C28N4O20
NEVVEQ_clean.cif,Co4H12C24S4N4O8
NEXDOK_charged.cif,Na28Fe8H144C288N48O144Cl24
NEXVET_clean.cif,Ni32O104C192H96
NEXVUI_clean.cif,Cd24H160C336N16O128
NEXXEV_clean.cif,Li16H64C120N8O32
NEXXIZ_clean.cif,Li16H76C120N8O32
NEYJIM_clean.cif,Mo12O34Cu10N24C48H48Cl2P1
NEYVEU_clean.cif,O48C324H264N60Zn12
NEYYIZ_clean.cif,Rb3Cr3C18N18
NEYYUN_clean.cif,O16N16H24C32Ni4S8
NEYZAU_clean.cif,O16N16H24C32Mg4S8
NEZBOK_clean.cif,Mn4P4H4O20C4
NEZWOG01_clean.cif,La6P8C16O48
NEZWOG_clean.cif,La12P16C32O96
NHBZZN10_clean_h.cif,Zn4C56N8O16H32
NIBHOW_clean.cif,Cu12H96C192N24O48
NIBHUC_clean.cif,Cu24H192C432N112O96
NIBJAK_clean.cif,Cu12H96C216N56O48
NIBXUT_clean.cif,Gd12P16H32C32O96
NICCAE_clean.cif,Al16P20O80
NICJUG_clean.cif,Ba6Cu6H24C60O60
NICZAA01_charged.cif,Cd1H30C30N12F2
NIFTIH_clean.cif,Cd8H64C120N16O32
NIFYUY_charged.cif,Tm24Co16H368C576N96O296Cl16
NIFZAF_charged.cif,Ho24Co16H376C576N96O296Cl16
NIFZEJ_charged.cif,Dy24Co16H368C576N96O296Cl16
NIFZIN_charged.cif,Tb24Co16H368C576N96O296Cl16
NIFZOT_charged.cif,Gd24Co16H376C576N96O264Cl8
NIFZUZ_clean.cif,Eu24Co16O208H320N96C576
NIGBOW_clean.cif,V2C28O10H16
NIGDEO_clean.cif,Cu12H76C160N2O48
NIGDIS_clean.cif,Cu12H72C156O48
NIGFIT_clean.cif,Er4H12C36O24
NIGFOZ_clean.cif,Tb4H12C36O24
NIGFUF_clean.cif,Dy4H12C36O24
NIGGAM_clean.cif,Ho4H12C36O24
NIGGEQ_clean.cif,Tm4H12C36O24
NIGGIU_clean.cif,Yb4H12C36O24
NIGHOA_charged.cif,Cu4H100C80N40Cl8O32
NIGLUK_clean.cif,N48C336H192Cu12
NIGNUO_clean.cif,Co18H120C216O63
NIGPEA_clean.cif,C216H120Co12O52
NIHBAI01_clean.cif,Fe12O48C24H24
NIHBAI02_clean.cif,Fe12O48C24H24
NIHBAI_clean.cif,Fe12O48C24H24
NIHBEM01_clean.cif,Fe12H24C24O48
NIHBEM02_clean.cif,Fe12H24C24O48
NIHBEM_clean.cif,Fe12H24C24O48
NIHBIQ01_clean.cif,Fe12H24C24O48
NIHBIQ02_clean.cif,Fe12H24C24O48
NIHBIQ_clean.cif,Fe12H24C24O48
NIHVUX_clean.cif,Ce4Mn4P4H40W30C50N10O98
NIJSAC_clean.cif,Cu4H52C64N28O32
NIJTOR_clean.cif,Co4N16O13C90H64S3
NIJZIP01_clean.cif,Nd4Cu6H48C48O60
NIJZIP_clean.cif,Nd4Cu6C48O60
NIJZOV_clean.cif,Er4Cu6C48O60
NIKDAM_clean.cif,Ce2H76C44N8O16
NIKDEQ_clean.cif,Gd2H76C44N8O16
NIKDIU_clean.cif,Eu2H76C44N8O16
NIKJIB_clean.cif,Er4H96C192N16O32
NIKJOH_clean.cif,Sm8H152C288N24O48
NIKJUN_clean.cif,Dy8Cu6H144C288N24O48
NIKKIC_clean.cif,Er4C192H116N16O32
NIKYOW01_clean.cif,Fe12H24C24O48
NIKYOW02_clean.cif,Fe12H24C24O48
NIKYOW_clean.cif,Fe12H24C24O48
NIKYUC01_clean.cif,Fe12H24C24O48
NIKYUC02_clean.cif,Fe12H24C24O48
NIKYUC_clean.cif,Fe12H24C24O48
NIKZAJ01_clean.cif,Fe12H24C24O48
NIKZAJ02_clean.cif,Fe12H24C24O48
NIKZAJ_clean.cif,Fe12H24C24O48
NIKZEN01_clean.cif,Fe12H24C24O48
NIKZEN02_clean.cif,Fe12H24C24O48
NIKZEN_clean.cif,Fe12H24C24O48
NIMPEG01_clean.cif,Cu4H60C90O20
NIMPEG_clean.cif,Cu4H72C94O20
NIMPOQ_clean.cif,Cu8H128C180O40
NIMTAE_clean.cif,N64C384H320Ag16
NIMTEJ_clean.cif,Ce4Cu4H32C56N8O32
NIMVEL_clean.cif,La4Cu4H32C56N8O32
NIMVIP_clean.cif,Pr4Cu4H32C56N8O32
NIMWUD_clean.cif,Cd4H28C48N8Cl8O18
NIMXAK_clean.cif,O72C96N48H48Ti16
NIMXIS_clean.cif,Zn7C40N4O30H16
NINHOH_clean.cif,Cd4C8N8
NINVAI_clean.cif,Fe12H24C72O48
NIRDAT_clean.cif,O48Ga12P8F4
NIRDEX_clean.cif,Zr1Cd2C8O16
NIRGAY_clean.cif,Mn6H108C132O36
NIRKAB_clean.cif,Al18Si9O72P9
NIRMUW01_clean.cif,Ba4H16C36O24
NIRMUW_clean.cif,Ba2H8C18O12
NIRNAD_clean.cif,Sr2H8C18O12
NISBEX_clean.cif,La4H48C72N36O24
NISCOJ_clean.cif,Zn4H80C88N24O16
NISPEL_charged.cif,Zn8P8H64C64O40N4
NISPOV_clean.cif,Zn9P6O32C42H24
NITADY_clean.cif,C48Dy8N8O48
NIVNOW_clean.cif,Cu6H16W4C48N40
NIVNUC_clean.cif,Cu6H16W4C48N40
NIVWIY_clean.cif,Gd2C4O10
NIVZOJ_clean.cif,Ag10C56H84N42
NIWPIU_clean.cif,O12Mg2C6H6
NIWZIE09_clean.cif,Mg6O36C18H18
NIWZIE10_clean.cif,Mg6O36C18H18
NIWZIE11_clean.cif,O12Mg2C6H6
NIWZIE12_clean.cif,O12Mg2C6H6
NIWZIE13_clean.cif,O12Mg2C6H6
NIWZIE14_clean.cif,O12Mg2C6H6
NIWZIE15_clean.cif,O12Mg2C6H6
NIWZIE16_clean.cif,O12Mg2C6H6
NIWZIE17_clean.cif,O12Mg2C6H6
NIWZIE18_clean.cif,O12Mg2C6H6
NIXPOA_clean.cif,Ag16S68F12O12N32C148H128
NIYJAI_clean.cif,Br8C256H272O16N16S16Cd4
NIYZIG_clean.cif,Zn8P4O32C84H52
NIZNAN_clean.cif,C84H108Tb4O24N24
NIZZAY_clean.cif,Zn24H192C288I48N96
NIZZEC_clean.cif,Zn24H192C288I48N96
NIZZIG_clean.cif,Zn24H192C288I48N96
NIZZOM_clean.cif,Zn24H192C288I48N96
NOBVOR_clean.cif,Co3H24C38N12O8
NOCKOG_clean.cif,Mg8H32C64O32
NOCKUM_clean.cif,Ca6H24C48O24
NOCLOH01_clean.cif,Sr3H12C24O12
NOCLOH02_clean.cif,Sr3H12C24O12
NOCLOH03_clean.cif,Sr3H12C24O12
NOCLOH_clean.cif,Sr3H12C24O12
NOCLUN_clean.cif,Sr4H16C32O16
NOCYUB_clean.cif,Sr4Zn2H18C42N6O24
NOCZAI_clean.cif,Sr4Ni2H18C42N6O24
NODKAT_clean.cif,In4O32C80H112
NODKOH_clean.cif,In8O80C184H176
NODKUN_clean.cif,In4O40C112H64
NOFDUI_clean.cif,Co8O40C88H124
NOFHOG_clean.cif,Eu4H48C96O24
NOFQAB_clean.cif,Zn128Cl320N512C1792
NOFQII_clean.cif,Eu2La2H24C24O30
NOFQIK_clean.cif,C40H56N16Cu4I4
NOFQOQ_clean.cif,C40H56N16Cu4I4
NOGDAP_clean.cif,Al18P18O72
NOHFOG_clean.cif,Er8H24C84O48
NOHHID_clean.cif,Cu8O32N24C80H40
NOHKIG_clean.cif,O32Tb4N8C32Na4
NOHKOM_clean.cif,O32Gd4N8C32Na4
NOHKUS_clean.cif,O32Eu4N8C32Na4
NOHLAZ_clean.cif,O32Sm4N8C32Na4
NOHLED_clean.cif,O40H16Ce4N8C32Na4
NOHSIM01_clean.cif,Zn4P8O32H12
NOHSIM_clean.cif,Zn4P8O32
NOHSUA_clean.cif,Ca10O52H132C216
NOJBOF_clean.cif,Cd4N12C76H44O16S4
NOJMOP_clean.cif,Cu24N44C136H120
NOKJON_clean.cif,Zn2U6P8O32
NOKLIJ_clean.cif,Ni6H6C24O18
NOKPEJ_clean.cif,Cd4H20C18N12O8
NOLQUA_clean.cif,O6C60N6H60Mn1
NOLRIR_clean.cif,Cd12O48C168H88
NOMKUX_clean.cif,Ag32N96C192H192
NOMQAJ01_clean.cif,C76H44N4O16Zn4
NOPJOT_clean.cif,Mn12C120H56O56
NOPJUZ01_clean.cif,Ni3O16N8C70H50
NOPJUZ_clean.cif,N8O14C70H46Ni3
NOQKOV_clean.cif,Co3H38C58N10O8
NOQKUB_clean.cif,N10O8C76H50Co3
NOQLOV01_charged.cif,In4C20O32H8N4
NOQLOV_charged.cif,In4C20O32H20N4
NOQNOY_clean.cif,Ca6Ce4H44C84N12O52
NOQPAM_clean.cif,Ba4Ce2H26C42N8O34
NORBUT_clean.cif,O180H288C180Ba18Zn18
NORGOS_clean.cif,Ba6Co6H60C60O60
NORJEL_clean.cif,Cd4H86C128N6O24
NOSHEK_clean.cif,U4P8F4O32H16C24
NOSHIO_clean.cif,U4P8F4O32H16C24
NOSJIQ_charged.cif,Dy52Cu6H240C342N48O274Cl2
NOSTUM01_clean.cif,O24H16C32Mg4
NOSTUM_clean.cif,O24H16C32Mg4
NOWGIR_clean.cif,Ag14H32C48N40
NOZZOT_charged.cif,Cd4Si2H72C72O22N4
NUBBAP_clean.cif,Zn22O72C108H36
NUBPIL_clean.cif,Cu4H24C44N8O16
NUCBIY_clean.cif,O128N128H704C768Zn32
NUCCEV_clean.cif,O32N32H176C192Cu8
NUCPEI_clean.cif,Zn16C184H72O80
NUCREJ_clean.cif,Zn9H48C60N24O30
NUCYAN_clean.cif,Eu4O32C68H52
NUCYER_clean.cif,Gd4O32C68H52
NUCYIV_clean.cif,Dy4O32C68H52
NUDLAA_clean.cif,Zn16H128C208N40O50
NUDLIJ_clean.cif,Mg12N8O40C56H32
NUDMAC_clean.cif,Mg12O40H32C56N8
NUDMEG_clean.cif,N8Mg12O40H32C56
NUDMOQ_clean.cif,Mg12N8O40H32C56
NUDMUW_clean.cif,Mg12N8O40H32C56
NUDNEH_clean.cif,N8Mg12O40H32C56
NUFBEX_clean.cif,Zn5O24C48H16
NUFBOH_clean.cif,Zn8O52C96H40
NUFBUN_clean.cif,Zn8O32C52H16
NUFCAU_clean.cif,Zn16O48C96H32
NUFTOY_charged.cif,In8H192C224O64N8
NUGRIR_clean.cif,Cu36H144W6C192S24Br24N144
NUGROX_clean.cif,Cu36H192W6C240S24Br24N96
NUHNUA_clean.cif,N64C256H320Co8
NUHPAI_clean.cif,Zn2H80C64N16
NUHQAK_clean.cif,Eu8O48C120H56
NUHQIS_clean.cif,Eu7O48C120H56Tb1
NUHQOY_clean.cif,Eu6O48C120H56Tb2
NUHQUE_clean.cif,O48C120H56Eu5Tb3
NUHRAL_clean.cif,Eu4O48C120H56Tb4
NUHZAS_clean.cif,Zn8O40N16C160H72S4
NUJCEA_clean.cif,Cd8Ni8N48C56
NUJCIE_clean.cif,Cd8Ni8N48C56
NULMAJ_clean.cif,Ni4Mo2H112C64N32
NUNCEG_clean.cif,Li8Si2O16C56H32
NUNNUH_clean.cif,C72H32O48Ni4
NUNPAP_clean.cif,O48C72H24Ni4
NUNSIA_clean.cif,N64H320C240Ag16
NUNSOG_clean.cif,N64H320C240Ag16
NUNTOH_clean.cif,O40F8P12Co8
NUNWIE_clean.cif,O56Co16P16F8
NURMUJ_clean.cif,Zn6H12C36O24
NUSSEA_clean.cif,Zn16O80C64H48
NUTQAV_clean.cif,Cu6H18C54O24
NUTYEI_clean.cif,C512H256N32O224Eu32
NUTYIM_clean.cif,C512H256N32O224Tb32
NUVBIQ_clean.cif,C30H6Nd2O24Yb2
NUVWEH_clean.cif,La4H32C32O40
NUVXOT_clean.cif,Zn24O56C96H48N48
NUVYIN_clean.cif,Ni6H76C120N12O28
NUVYOT_clean.cif,Ni4H60C100N8O28
NUWBOX_clean.cif,Mo24Mn6P16O100
NUWPOM_clean.cif,Mg36O90C18
NUWVIM_clean.cif,O128N128H704C768Zn32
NUXMAU_clean.cif,P4O12Cu4C6
NUXWAG_clean.cif,Mo4Mn8N28C28
NUYNAY_clean.cif,Ti6O26C48
NUYNEC_clean.cif,Ti6O26C48
NUYQUU_clean.cif,Cd8S8N24C16H8
NUYWEK_clean.cif,Cd2H28C40N8O8
NUYWOU_clean.cif,Cd4H76C100N20O16
NUZSAD_clean.cif,Eu2O14N2C20H16
OBAFEF_clean.cif,Tb4Cu16I16O24N12C72H48
OBAFIJ_clean.cif,Tb4Cu16I16O24N12C72H48
OBAFOP_clean.cif,Tb12I48Cu48O72N36C216H144
OBAHIL_clean.cif,Zn18N54O72C396H234
OBAHOR_clean.cif,Zn18N54H234O72C396
OBAHUX_clean.cif,Zn18N54O72C396H234
OBAJAF_clean.cif,Zn18N54H234O72C396
OBEDAA_charged.cif,Ag4H48C92N16B4F16
OBEDEE_clean.cif,Ag4H52C88N12O4
OBENUF_clean.cif,Gd4H16C36O24
OBEPER_clean.cif,Tm4H12C36N4O32
OBIBAF_clean.cif,Mg16O88C280H240
OBIBEJ_clean.cif,Ca8O40C132H114
OBIBOT_clean.cif,Ba18O108N12C264H216
OBODEQ_clean.cif,Nd4H12C36O24
OBOGUK_clean.cif,Zn6O26C46H20
OBONUO_charged.cif,Cu8H160C176N32Cl4B12F48
OBUBOC_manual.cif,Ce4Cu6H48C48O60
OBUFEX_clean.cif,Zn4H44C64N8O24
OBUFIB_SL.cif,Zn8H48C64N8O28
OBUREL_clean.cif,Cu18C288H198N18O108
OCACUR_clean.cif,Co4H4C20O16
OCAQOY_clean.cif,V8Ni4H48C60N12O16
OCAWAT_clean.cif,Cd12Si4O48C100H48
OCIHIS_clean.cif,O48C40P16N8Zr4
OCINIA_clean.cif,Zn20O56C88H40N24
OCIVIH_clean.cif,Pr4Co6H36C84N12O48
OCOKUP_clean.cif,Mn4C40N12H24
OCUGEZ01_clean.cif,Nd2H24C18O12
OCUGEZ_clean.cif,Nd2H24C18O12
OCUMIL_clean.cif,C128H32Mn16N16O96
OCUMOR_clean.cif,Mn16O104N16C128H48
OCUNAC_manual.cif,Cr204C1632O884H816
OCUNAE_clean.cif,C128H32N16O96Mn16
OCUPUY_clean.cif,V4P4H24C10O14
OCUQIN_clean.cif,V16P16O56C24H56
OCUQOT_clean.cif,V16P16O56C24H56
OCUQUZ_clean.cif,V16P16O56C24H56
OCURAG_clean.cif,V16P16O56C24H56
OCUSIP_clean.cif,V12P16O48C16H32
OCUSOV_clean.cif,V16P16O56C24H56
OCUSUB_clean.cif,V16P16O56C24H48
OCUTEM_clean.cif,V16P16O56C24H56
OCUVUF_clean.cif,As16C96H64Dy16K16N16O496W168
ODAGEI_clean.cif,Ag36N144O36S72C864H648
ODAHIK_charged.cif,Cu4H168C128N24O28
ODAJAG_clean.cif,Nd4H16C20O32
ODEKAL_clean.cif,P8O32H8In4Li2
ODERIZ_clean.cif,N48C96H48Pd12O24F24
ODEZAB_clean.cif,O90C252H144Cu18
ODIMAQ_clean.cif,Sm4Zn6H48C48O60
ODIVUU_clean.cif,O32N20H40C72Zn8
ODIXAC_charged.cif,Cd4Si2H72C74O22N4
ODIXEG_clean.cif,Zn4Si2H32C56O16
ODODES_clean.cif,Zn6Si4H68C112O32
ODODIW_clean.cif,Zn5Si2H34C56O18
ODODOC_clean.cif,Cd3Si2H32C56O16
ODODUI_clean.cif,Zn36Si16H264C448O136
ODOMIF_clean.cif,O20C48H24Mn4
ODONEB_clean.cif,Ni12H288C264N96O72
ODONIF_clean.cif,Co12H288C264N96O72
ODOXEK_clean.cif,Cd6H18C54O36
ODUNEH_clean.cif,Zn10H64C112O36
OFAWAV_clean.cif,Hf6H24C48O24
OFAWEZ_clean.cif,Hf6H24C48O24
OFEHAK_clean.cif,Cd8H64C96N16O32
OFEREX_clean.cif,Eu4H12C36O24
OFERUN02_clean_h.cif,Zn6C48N24H59
OFERUN06_clean.cif,Zn6H24C48N24
OFERUN_clean.cif,Zn6H60C48N24
OFESAU_clean.cif,Gd4Cu6H60C48N12O48
OFESEY_clean.cif,Nd4Cu6H60C48N12O48
OFESIC_clean.cif,Sm4Cu6H60C48N12O48
OFEZEF_clean.cif,O96Al18P24
OFEZIJ_clean.cif,O96Al18P24
OFIWIK_charged.cif,Zn12P16H128O48C48N8
OFOCUI_clean.cif,Cu24H72C192N24O96
OFODET_clean.cif,Mn4H32C64N8O32
OFUCAV_clean.cif,Ce4H16C20O24
OFUCEZ_clean.cif,Ce2O12C12H6
OFUDUQ_clean.cif,Co2P2H22C24N6O8
OFUSEP_clean.cif,Ag8P4H48C24S4N12
OFUYUL_SL.cif,Zn8H32C64O40
OGAGAF_clean.cif,Zn8P8H64C52N8O24
OGAGEJ_clean.cif,Zn8P8H64C52N8O24
OGAGIN_clean.cif,Zn8P8H64C52N8O24
OGAQES_clean.cif,Ba8S12O48H60C36
OGAXUR_clean.cif,Co6H66C57N6O24
OGEBAF01_clean.cif,Cu18H84C204O72
OGECOU_clean.cif,Ni6H66C57N6O24
OGESOJ_clean.cif,Bi4O32C16
OGIBOV_clean.cif,Ga20P20F16O80
OGIBUD_clean.cif,Zn4O32C40H8
OGIKAR_clean.cif,Cu24H232C424N56O96
OGIYAF_clean.cif,Co2H6C6O12
OGIYOT_charged.cif,Nd4H128C208S16N16O64
OGIYUZ_clean.cif,S16N16C208H128O64Eu4
OGOJOJ_charged.cif,Gd4H224C132N68O32Cu24
OGOWAJ_clean.cif,Zn8H128C176N8O32
OGUJIL_clean.cif,N48C24H24Cu2
OGUPIQ_clean.cif,Co20H88C128N16O72
OGURAK_charged.cif,Cu4H16C32N16Cl1O8
OHAKEO_clean.cif,Cd4H56C80N16O16
OHAKIS_clean.cif,Cd8H112C160N32O32
OHAQEU_clean.cif,Nb2Fe4C16N16
OHAZAZ_clean.cif,Gd2H24C24N6O18
OHEGAJ_clean.cif,As12Zn12O64H8C8
OHEMIX_clean.cif,Ag4C20H32N8O8
OHIHET_clean.cif,N12C52H32Zn2
OHIHOD_clean.cif,Tb4O32C64H32
OHIHUJ_clean.cif,La4O32C64H32
