id,chemical_formula,DOI,REFCODE,model_pred
AGESIP_clean.cif,Cu6H4C16O20,10.1002/zaac.200800259,AGESIP,1.5361416
RAGREY_charged.cif,Cu4H64C80N16,-,RAGREY,1.5607417
MEHPAQ_clean.cif,Cu4H28C20N4O16,10.1016/S0020-1693(98)00224-2,MEHPAQ,1.5869788
XADDIR_manual.cif,Cu12H24C72O48,10.1002/ejic.201000331,XADDIR,1.5837772
XAWVUN_clean.cif,Cu4H40C68N4O16,10.1039/b505664k,XAWVUN,1.5786127
INURIS_clean.cif,Cu24H264C360N24O72,10.1002/anie.200352024,INURIS,1.5785193
BEPVEZ_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVEZ,1.5744494
ic5008457_si_002_clean.cif,Cu6H32C48N52,10.1021/ic5008457,ic5008457_si_002,2.1756523
UGUGUZ_clean.cif,Yb8C48N12O48,10.1039/b900618d,UGUGUZ,4.813031
QAVDEW_clean.cif,Cu6H24C16N32O16,10.1016/S0020-1693(00)00244-9,QAVDEW,1.884646
MILROQ_clean.cif,Cu72H520C616N104O96,10.1007/s11426-013-4851-7,MILROQ,1.584992
ADATIK_clean.cif,Cu48H192C384N120O128,10.1002/anie.201201202,ADATIK,1.9054785
UBUROY_clean.cif,Zn2Cu8C12N12,10.1016/S1387-7003(01)00241-6,UBUROY,1.4417374
GAWMAU_clean.cif,Cu12H80C68N32O48,10.1016/j.inoche.2011.09.012,GAWMAU,1.6832838
LUNBIF_clean.cif,Zn4W12C12S16N12,10.1021/cm020103b,LUNBIF,1.3714919
YAZWOM_clean.cif,Cu6H78C42N12Cl6O18,10.1016/j.inoche.2005.09.008,YAZWOM,1.7555555
QIWCOQ_clean.cif,Cu4H52C84N16O16,10.1039/C4CE00181H,QIWCOQ,1.7477858
LUNBEB_clean.cif,Co6W12C12S16N12,10.1021/cm020103b,LUNBEB,1.3414838
cg501332u_si_002_clean.cif,Co2Cu8B4H90C102N36O32,10.1021/cg501332u,cg501332u_si_002,1.8315109
BEPVOJ_clean.cif,Cu6H42C40N16,10.1039/c3sc00016h,BEPVOJ,1.5744494
TIQGEG01_clean.cif,Cu14H24C32O44,10.1021/cm071005z,TIQGEG01,1.4599094
KANMIX_clean.cif,Cu12H36C84N12O48,10.3390/polym3042133,KANMIX,1.7663487
PEFSUQ_clean.cif,Cu6H48C69N18O18,10.1021/cg300440t,PEFSUQ,1.822121
HEXVEM_clean.cif,Cu12H120C192N48O48,10.1021/ja066616r,HEXVEM,1.9387151
XEYMAR_clean.cif,Mn8Cu16H72C96I16N16O40,10.1021/cm302953x,XEYMAR,1.9744854
AQUCOF_clean.cif,Cu12H30C50N20O20,10.1016/j.ica.2011.04.006,AQUCOF,1.6751246
cm501138g_si_008_clean.cif,Cu12H24C72O48,10.1021/cm501138g,cm501138g_si_008,1.5837772
LUMZUO_clean.cif,Mn6W12C12S16N12,10.1021/cm020103b,LUMZUO,1.3474187
MAWFAT_charged.cif,Mn4Cu6H296C208N16O36,10.1039/c2cc17767f,MAWFAT,1.6437532
